author	title	venue	year	type
Andrea Abrardo#Mauro Barni#Kassem Kallas#Benedetta Tondi	Information Fusion in Distributed Sensor Networks with Byzantines		2021	Book and Theses
Manasvi Aggarwal#M. N. Murty	Machine Learning in Social Networks - Embedding Nodes, Edges, Communities, and Graphs		2021	Book and Theses
George A. Anastassiou	Generalized Fractional Calculus - New Advancements and Applications		2021	Book and Theses
Josephine Antoniou#*Josephina Antoniou	Quality of Experience and Learning in Information Systems - Incorporating Learning and Ethics into Characterizations of Quality of Experience		2021	Book and Theses
Anirban Bhowal#Rakhesh S. Kshetrimayum#*Rakhesh Singh Kshetrimayum	Advanced Spatial Modulation Systems		2021	Book and Theses
Keonwook Kim	Conceptual Digital Signal Processing with MATLAB		2021	Book and Theses
John N. Mordeson#Sunil Mathew	Sustainable Development Goals: Analysis by Mathematics of Uncertainty		2021	Book and Theses
Rafael Martínez-Guerra#Fidel Meléndez-Vázquez#Iván Trejo-Zúñiga	Fault-tolerant Control and Diagnosis for Integer and Fractional-order Systems - Fundamentals of Fractional Calculus and Differential Algebra with Real-Time Applications		2021	Book and Theses
Krunal N. Patel	Robust and Secured Digital Audio Watermarking - Studies in Speech Signal Processing, Natural Language Understanding, and Machine Learning		2021	Book and Theses
Keyurkumar Patel#Axaykumar Mehta	Discrete-Time Sliding Mode Protocols for Discrete Multi-Agent System		2021	Book and Theses
Reza Vafashoar#Hossein Morshedlou#Alireza Rezvanian#Mohammad Reza Meybodi#*M. R. Meybodi	Cellular Learning Automata: Theory and Applications		2021	Book and Theses
Marcos Quiñones-Grueiro#Orestes Llanes-Santiago#Antônio José da Silva Neto	Monitoring Multimode Continuous Processes - A Data-Driven Approach		2021	Book and Theses
Jun Fu#Ruicheng Ma	Stabilization and H<sub>∞</sub> Control of Switched Dynamic Systems		2021	Book and Theses
Pawel J. Mitkowski	Mathematical Structures of Ergodicity and Chaos in Population Dynamics		2021	Book and Theses
Mallikka Rajalingam	Text Segmentation and Recognition for Enhanced Image Spam Detection - An Integrated Approach		2021	Book and Theses
Sina Razvarz#Raheleh Jafari#Alexander E. Gegov	Flow Modelling and Control in Pipeline Systems - A Formal Systematic Approach		2021	Book and Theses
Marcin Relich	Decision Support for Product Development - Using Computational Intelligence for Information Acquisition in Enterprise Databases		2021	Book and Theses
Falk Ralph Schiffner	Dimension-Based Quality Analysis and Prediction for Videotelephony		2021	Book and Theses
Shuyi Shao#Mou Chen#Peng Shi	Robust Discrete-Time Flight Control of UAV with External Disturbances		2021	Book and Theses
V. S. Subrahmanian#*Venkatramanan Siva Subrahmanian#Chiara Pulice#James F. Brown#Jacob Bonen-Clark	A Machine Learning Based Model of Boko Haram		2021	Book and Theses
Walid Taha#*Walid Mohamed Taha#Abd-Elhamid M. Taha#Johan Thunberg	Cyber-Physical Systems: A Model-Based Approach		2021	Book and Theses
Yunong Zhang#Binbin Qiu#Xiaodong Li	Zhang-Gradient Control, 3		2021	Book and Theses
Hossam Mahmoud Ahmad Fahmy#*Hossam Mahmoud Ahmed Fahm#*Hossam M. A. Fahmy	Concepts, Applications, Experimentation and Analysis of Wireless Sensor Networks, Second Edition		2021	Book and Theses
Alex X. Liu#*Xiang-Yang Alex Liu#Rui Li 0020	Algorithms for Data and Computation Privacy		2021	Book and Theses
Gavin Zheng#Longxiang Gao#Liqun Huang#Jian Guan	Ethereum Smart Contract Development in Solidity		2021	Book and Theses
Muhammad A. Alam#M. Ryyan Khan	Principles of Solar Cells - Connecting Perspectives on Device, System, Reliability, and Data Science	Principles of Solar Cells	2021	Book and Theses
Mark Albert#Plamen Petrov 0008#Rajeev Ronanki	Applied Health Care Analytics - Enabling Transformative Health Care through Data Science, Machine Learning, and Cognitive Computing	Applied Health Care Analytics	2021	Book and Theses
Fabio Cuzzolin	The Geometry of Uncertainty - The Geometry of Imprecise Probabilities		2021	Book and Theses
Roberto Di Pietro#Simone Raponi#Maurantonio Caprolu#Stefano Cresci	New Dimensions of Information Warfare		2021	Book and Theses
Diego Azevedo Leite	The Twenty-First Century Mechanistic Theory of Human Cognition - A Critical Analysis		2021	Book and Theses
Md. Atiqur Rahman Ahad#*Md Atiqur Rahman Ahad#Anindya Das Antar#Masud Ahmed	IoT Sensor-Based Activity Recognition - Human Activity Recognition		2021	Book and Theses
Witold Pedrycz	An Introduction to Computing with Fuzzy Sets - Analysis, Design, and Applications		2021	Book and Theses
Nataliya Serdyukova#*Nataliya A. Serdyukova#*Natalia A. Serdyukova#Vladimir I. Serdyukov	Algebraic Identification of Smart Systems - Theory аnd Practice		2021	Book and Theses
