wikidata	wikipedia	film	abstract	date	sitelinks	director	genre
http://www.wikidata.org/entity/Q47703	https://en.wikipedia.org/wiki/The_Godfather	The Godfather	The Godfather is a 1972 American crime film directed by Francis Ford Coppola who co-wrote the screenplay with Mario Puzo, based on Puzos best-selling 1969 novel of the same name. The film stars Marlon Brando, Al Pacino, James Caan, Richard Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, and Diane Keaton. It is the first installment in The Godfather trilogy. The story, spanning from 1945 to 1955, chronicles the Corleone family under patriarch Vito Corleone, focusing on the transformation of one of his sons, Michael Corleone, from reluctant family outsider to ruthless mafia boss. @ Paramount Pictures obtained the rights to the novel for the price of $80,000, before it gained popularity. Studio executives had trouble finding a director; their first few candidates turned down the position before Coppola signed on to direct the film. They and Coppola disagreed over the casting for several characters, in particular, Vito and Michael. Filming took place primarily on location around New York City and in Sicily, and was completed ahead of schedule. The musical score was composed principally by Nino Rota, with additional pieces by Carmine Coppola. @ The Godfather premiered at the Loews State Theatre on March 14, 1972, and was widely released in the United States on March 24, 1972. It was the highest-grossing film of 1972, and was for a time the highest-grossing film ever made, earning between $246 and $287 million at the box office. The film received universal acclaim from critics and audiences, with praise for the performances, particularly those of Brando and Pacino, the directing, screenplay, cinematography, editing, score, and portrayal of the mafia. The Godfather acted as a catalyst for the successful careers of Coppola, Pacino, and other relative newcomers in the cast and crew. Additionally the film revitalized Brandos career, which had declined in the 1960s, and he went on to star in films such as Last Tango in Paris, Superman, and Apocalypse Now. @ At the 45th Academy Awards, the film won the Oscars for Best Picture, Best Actor, and Best Adapted Screenplay. In addition, the seven other Oscar nominations included Pacino, Caan, and Duvall for Best Supporting Actor, and Coppola for Best Director. Since its release, The Godfather has been widely regarded as one of the greatest and most influential films ever made, especially in the gangster genre. It was selected for preservation in the U.S. National Film Registry of the Library of Congress in 1990, being deemed culturally, historically, or aesthetically significant and is ranked the second-greatest film in American cinema by the American Film Institute. It was followed by sequels The Godfather Part II and The Godfather Part III.	1972-03-15	112	Francis Ford Coppola	crime film#drama (film and television)#film based on a novel#gangster film
http://www.wikidata.org/entity/Q44578	https://en.wikipedia.org/wiki/Titanic_(1997_film)	Titanic	Titanic is a 1997 American epic romance and disaster film directed, written, co-produced, and co-edited by James Cameron. Incorporating both historical and fictionalized aspects, it is based on accounts of the sinking of the RMS Titanic, and stars Leonardo DiCaprio and Kate Winslet as members of different social classes who fall in love aboard the ship during its ill-fated maiden voyage. @ Camerons inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster. Production began in 1995, when Cameron shot footage of the actual Titanic wreck. The modern scenes on the research vessel were shot on board the Akademik Mstislav Keldysh, which Cameron had used as a base when filming the wreck. Scale models, computer-generated imagery, and a reconstruction of the Titanic built at Baja Studios were used to re-create the sinking. The film was co-financed by Paramount Pictures and 20th Century Fox; the former handled distribution in North America while the latter released the film internationally. It was the most expensive film ever made at the time, with a production budget of $200 million. @ Upon its release on December 19, 1997, Titanic achieved significant critical and commercial success. Nominated for 14 Academy Awards, it tied All About Eve for the most Oscar nominations, and won 11, including the awards for Best Picture and Best Director, tying Ben-Hur for the most Oscars won by a single film. With an initial worldwide gross of over $1.84 billion, Titanic was the first film to reach the billion-dollar mark. It remained the highest-grossing film of all time until Camerons Avatar surpassed it in 2010. A 3D version of Titanic, released on April 4, 2012, to commemorate the centennial of the sinking, earned it an additional $343.6 million worldwide, pushing the films worldwide total to $2.18 billion and making it the second film to gross more than $2 billion worldwide. In 2017, the film was re-released for its 20th anniversary and was selected for preservation in the United States National Film Registry.	1997-11-01	112	James Cameron	disaster film#drama (film and television)#flashback film#melodrama#romance film
http://www.wikidata.org/entity/Q134773	https://en.wikipedia.org/wiki/Forrest_Gump	Forrest Gump	Forrest Gump is a 1994 American romantic comedy-drama film directed by Robert Zemeckis and written by Eric Roth. It is based on the 1986 novel of the same name by Winston Groom and stars Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson and Sally Field. The story depicts several decades in the life of Forrest Gump, a slow-witted but kind-hearted man from Alabama who witnesses and unwittingly influences several defining historical events in the 20th century United States. The film differs substantially from the novel. @ Principal photography took place between August and December 1993, mainly in Georgia, North Carolina and South Carolina. Extensive visual effects were used to incorporate Hanks into archived footage and to develop other scenes. The soundtrack features songs reflecting the different periods seen in the film. @ Forrest Gump was released in the United States on July 6, 1994 and received favorable reviews for Zemeckiss directing, Sinise and Hankss performances, the visual effects, the music and the screenplay. The film was an enormous success at the box office; it became the top-grossing film in America released that year and earned over worldwide during its theatrical run, making it the second highest-grossing film of 1994, behind The Lion King. The soundtrack sold over 12 million copies. Forrest Gump won the Academy Awards for Best Picture, Best Director, Best Actor for Hanks, Best Adapted Screenplay, Best Visual Effects, and Best Film Editing. It received many award nominations, including Golden Globes, British Academy Film Awards and Screen Actors Guild Awards. @ Varying interpretations have been made of the protagonist and the films political symbolism. In 2011, the Library of Congress selected the film for preservation in the United States National Film Registry as being culturally, historically, or aesthetically significant.	1994-06-23	111	Robert Zemeckis	comedy film#coming-of-age story#drama (film and television)#film based on a novel#flashback film#historical period drama#romantic comedy#tragicomedy
http://www.wikidata.org/entity/Q83495	https://en.wikipedia.org/wiki/The_Matrix	The Matrix	The Matrix is a 1999 American science fiction action film written and directed by the Wachowskis, and produced by Joel Silver. It stars Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, and Joe Pantoliano and is the first installment in the Matrix franchise. It depicts a dystopian future in which humanity is unknowingly trapped inside a simulated reality, the Matrix, created by intelligent machines to distract humans while using their bodies as an energy source. When computer programmer Thomas Anderson, under the hacker alias Neo, uncovers the truth, he is drawn into a rebellion against the machines along with other people who have been freed from the Matrix. The plot has been confirmed to be an allegory for transgender identity. @ The Matrix is an example of the cyberpunk subgenre of science fiction. The Wachowskis approach to action scenes was influenced by Japanese animation and martial arts films, and the films use of fight choreographers and wire fu techniques from Hong Kong action cinema influenced subsequent Hollywood action film productions. The film popularized a visual effect known as bullet time, in which the heightened perception of certain characters is represented by allowing the action within a shot to progress in slow-motion while the camera appears to move through the scene at normal speed, allowing the sped-up movements of certain characters to be perceived normally. While some critics have praised the film for its handling of difficult subjects, others have said the deeper themes are largely overshadowed by its action scenes. @ The Matrix was first released in the United States on March 31, 1999, and grossed over worldwide. It was well-received by many critics and won four Academy Awards, as well as other accolades, including BAFTA Awards and Saturn Awards. The Matrix was praised for its innovative visual effects, action sequences, cinematography and entertainment value. The film is considered to be among the best science fiction films of all time, and was added to the National Film Registry for preservation in 2012. The success of the film led to the release of two feature film sequels in 2003, The Matrix Reloaded and The Matrix Revolutions, which were also written and directed by the Wachowskis, and produced by Joel Silver. The Matrix franchise was further expanded through the production of comic books, video games and animated short films, with which the Wachowskis were heavily involved. The franchise has also inspired books and theories expanding on some of the religious and philosophical ideas alluded to in the films. A fourth film is scheduled for release on December 22, 2021.	1999-03-31	99	Lana Wachowski#Lilly Wachowski	action film#action thriller#cyberpunk#dystopian film#film noir#post-apocalyptic film#science fiction film#thriller film
http://www.wikidata.org/entity/Q104123	https://en.wikipedia.org/wiki/Pulp_Fiction	Pulp Fiction	Pulp Fiction is a 1994 American neo-noir black comedy crime film written and directed by Quentin Tarantino, who conceived it with Roger Avary. Starring John Travolta, Samuel L. Jackson, Bruce Willis, Tim Roth, Ving Rhames, and Uma Thurman, it tells several stories of criminal Los Angeles. The title refers to the pulp magazines and hardboiled crime novels popular during the mid-20th century, known for their graphic violence and punchy dialogue. @ Tarantino wrote Pulp Fiction in 1992 and 1993, incorporating scenes that Avary originally wrote for True Romance. Its plot occurs out of chronological order. The film is also self-referential from its opening moments, beginning with a title card that gives two dictionary definitions of pulp. Considerable screen time is devoted to monologues and casual conversations with eclectic dialogue revealing each characters perspectives on several subjects, and the film features an ironic combination of humor and strong violence. TriStar Pictures reportedly turned down the script as too demented. Then Miramax co-chairman Harvey Weinstein was enthralled, however, and the film became the first that Miramax fully financed. @ Pulp Fiction won the Palme dOr at the 1994 Cannes Film Festival, and was a major critical and commercial success. It was nominated for seven awards at the 67th Academy Awards, including Best Picture, and won Best Original Screenplay; it earned Travolta, Jackson, and Thurman Academy Award nominations and boosted their careers. Its development, marketing, distribution, and profitability had a sweeping effect on independent cinema. @ Pulp Fiction is widely regarded as Tarantinos masterpiece, with particular praise for its screenwriting. The self-reflexivity, unconventional structure, and extensive homage and pastiche have led critics to describe it as a touchstone of postmodern film. It is often considered a cultural watershed, influencing films and other media that adopted elements of its style. In 2008, Entertainment Weekly named it the best film since 1983 and it has appeared on many critics lists of the greatest films ever made. In 2013, Pulp Fiction was selected for preservation in the United States National Film Registry by the Library of Congress as culturally, historically, or aesthetically significant.	1994-05-21	94	Quentin Tarantino	drama (film and television)#gangster film#independent film#thriller film
http://www.wikidata.org/entity/Q163872	https://en.wikipedia.org/wiki/The_Dark_Knight_(film)	The Dark Knight	The Dark Knight is a 2008 superhero film directed, produced, and co-written by Christopher Nolan. Based on the DC Comics character Batman, the film is the second installment of Nolans The Dark Knight Trilogy and a sequel to 2005s Batman Begins, starring Christian Bale and supported by Michael Caine, Heath Ledger, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, and Morgan Freeman. In the film, Bruce Wayne / Batman, Police Lieutenant James Gordon and District Attorney Harvey Dent form an alliance to dismantle organized crime in Gotham City, but are menaced by an anarchistic mastermind known as the Joker, who seeks to undermine Batmans influence and throw the city into anarchy. @ Nolans inspiration for the film was the Jokers comic book debut in 1940, the 1988 graphic novel The Killing Joke, and the 1996 series The Long Halloween, which retold Harvey Dents origin. The Dark Knight nickname was first applied to Batman in Batman #1, in a story written by Bill Finger. The Dark Knight was filmed primarily in Chicago, as well as in several other locations in the United States, the United Kingdom, and Hong Kong. The film was the first mainstream feature to partially utilize IMAX 70mm cameras, with Nolan using them for 28 minutes of the film, including the Jokers first appearance. Warner Bros. initially created a viral marketing campaign for The Dark Knight, developing promotional websites and trailers highlighting screenshots of Ledger as the Joker. Ledger died on January 22, 2008, some months after he completed filming and six months before the films release from a toxic combination of prescription drugs, leading to intense attention from the press and movie-going public. @ Considered one of the best films of its decade and one of the best superhero films of all time, the film received critical praise for its screenplay, visual effects, musical score, themes, performances, cinematography, action sequences and direction. The film also set numerous records during its theatrical run. The Dark Knight appeared on 287 critics top-ten lists, more than any other film of 2008 with the exception of WALL-E, and more critics named The Dark Knight the best film released that year. With over $1billion in revenue worldwide, it became the fourth-highest-grossing film at the time, and highest-grossing film of 2008; it also set the record for highest-grossing domestic opening with $158million, a record it held for three years. At the 81st Academy Awards, the film received eight nominations; it won the award for Best Sound Editing and Ledger was posthumously awarded Best Supporting Actor. The Dark Knight Rises, the final film in the trilogy, was released on July 20, 2012. @ In 2020, the film was selected for preservation in the United States National Film Registry by the Library of Congress for being culturally, historically, or aesthetically significant.	2008-07-18	93	Christopher Nolan	action film#crime film#crime thriller#drama (film and television)#neo-noir#superhero film#thriller
http://www.wikidata.org/entity/Q172241	https://en.wikipedia.org/wiki/The_Shawshank_Redemption	The Shawshank Redemption	The Shawshank Redemption is a 1994 American drama film written and directed by Frank Darabont, based on the 1982 Stephen King novella Rita Hayworth and Shawshank Redemption. It tells the story of banker Andy Dufresne, who is sentenced to life in Shawshank State Penitentiary for the murders of his wife and her lover, despite his claims of innocence. Over the following two decades, he befriends a fellow prisoner, contraband smuggler Ellis Red Redding, and becomes instrumental in a money-laundering operation led by the prison warden Samuel Norton. William Sadler, Clancy Brown, Gil Bellows, and James Whitmore appear in supporting roles. @ Darabont purchased the film rights to Kings story in 1987, but development did not begin until five years later, when he wrote the script over an eight-week period. Two weeks after submitting his script to Castle Rock Entertainment, Darabont secured a $25 million budget to produce The Shawshank Redemption, which started pre-production in January 1993. While the film is set in Maine, principal photography took place from June to August 1993 almost entirely in Mansfield, with the Ohio State Reformatory serving as the eponymous penitentiary. The project attracted many stars of the time for the role of Andy, including Tom Hanks, Tom Cruise, and Kevin Costner. Thomas Newman provided the films score. @ While The Shawshank Redemption received positive reviews on its release, particularly for its story and the performances of Robbins and Freeman, it was a box-office disappointment, earning only $16 million during its initial theatrical run. Many reasons were cited for its failure at the time, including competition from films such as Pulp Fiction and Forrest Gump, the general unpopularity of prison films, its lack of female characters, and even the title, which was considered to be confusing for audiences. It went on to receive multiple award nominations, including seven Academy Award nominations, and a theatrical re-release that, combined with international takings, increased the films box-office gross to $58.3 million. @ Over 320,000 VHS copies were shipped throughout the United States, and on the strength of its award nominations and word of mouth, it became one of the top rented films of 1995. The broadcast rights were acquired following the purchase of Castle Rock by Turner Broadcasting System, and it was shown regularly on the TNT network starting in 1997, further increasing its popularity. It is now considered by many to be one of the greatest films of the 1990s. Decades after its release, the film was still broadcast regularly, and is popular in several countries, with audience members and celebrities citing it as a source of inspiration, and naming the film as a favorite in various surveys. In 2015, the United States Library of Congress selected the film for preservation in the National Film Registry, finding it culturally, historically, or aesthetically significant.	1994-09-10	93	Frank Darabont	buddy film#crime film#drama (film and television)#film based on literature#prison film
http://www.wikidata.org/entity/Q184605	https://en.wikipedia.org/wiki/2012_(film)	2012	2012 is a 2009 American science fiction disaster film directed by Roland Emmerich. It was produced by Harald Kloser, Mark Gordon, and Larry J. Franco, and written by Kloser and Emmerich. The film stars John Cusack, Chiwetel Ejiofor, Amanda Peet, Oliver Platt, Thandie Newton, Danny Glover, and Woody Harrelson. The plot follows geologist Adrian Helmsley, who discovers the Earths crust is becoming unstable after a massive solar flare caused by an alignment of the planets, and novelist Jackson Curtis as he attempts to bring his family to safety as the world is destroyed by a series of extreme natural disasters caused by this. The film refers to Mayanism and the 2012 phenomenon in its portrayal of cataclysmic events. @ Filming, originally planned for Los Angeles, began in Vancouver in August 2008. After a lengthy advertising campaign which included the creation of a website from its main characters point of view and a viral marketing website on which filmgoers could register for a lottery number to save them from the ensuing disaster, 2012 was released on November 13, 2009, to commercial success, grossing over $769 million worldwide against a production budget of $200 million, becoming the fifth highest-grossing film of 2009. The film received mixed reviews, with praise for its visual effects, but criticism of its screenplay and runtime.	2009-11-11	92	Roland Emmerich	action film#disaster film#science fiction film
http://www.wikidata.org/entity/Q132689	https://en.wikipedia.org/wiki/Casablanca_(film)	Casablanca	Casablanca is a 1942 American wartime romantic drama film directed by Michael Curtiz, and starring Humphrey Bogart, Ingrid Bergman, and Paul Henreid. Filmed and set during World War II, it focuses on an American expatriate who must choose between his love for a woman and helping her and her husband, a Czech resistance leader, escape from the Vichy-controlled city of Casablanca to continue his fight against the Germans. The screenplay is based on Everybody Comes to Ricks, an unproduced stage play by Murray Burnett and Joan Alison. The supporting cast features Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, and Dooley Wilson. @ Warner Bros. story editor Irene Diamond convinced producer Hal B. Wallis to purchase the film rights to the play in January 1942. Brothers Julius and Philip G. Epstein were initially assigned to write the script. However, despite studio resistance, they left to work on Frank Capras Why We Fight series early in 1942. Howard Koch was assigned to the screenplay until the Epsteins returned a month later. Principal photography began on May 25, 1942, ending on August 3; the film was shot entirely at Warner Bros. Studios in Burbank, California with the exception of one sequence at Van Nuys Airport in Van Nuys. @ Although Casablanca was an A-list film with established stars and first-rate writers, no one involved with its production expected it to be anything other than one of the hundreds of ordinary pictures produced by Hollywood that year. Casablanca was rushed into release to take advantage of the publicity from the Allied invasion of North Africa a few weeks earlier. It had its world premiere on November 26, 1942, in New York City and was released nationally in the United States on January 23, 1943. The film was a solid if unspectacular success in its initial run. @ Exceeding expectations, Casablanca went on to win the Academy Award for Best Picture, while Curtiz was selected as Best Director and the Epsteins and Koch were honored for writing the Best Adapted Screenplay. Its reputation has gradually grown, to the point that its lead characters, memorable lines, and pervasive theme song have all become iconic, and it consistently ranks near the top of lists of the greatest films in history.	1942-11-26	89	Michael Curtiz	drama (film and television)#flashback film#romance film#war film
http://www.wikidata.org/entity/Q190050	https://en.wikipedia.org/wiki/Fight_Club	Fight Club	Fight Club is a 1999 American film directed by David Fincher and starring Brad Pitt, Edward Norton, and Helena Bonham Carter. It is based on the 1996 novel of the same name by Chuck Palahniuk. Norton plays the unnamed narrator, who is discontented with his white-collar job. He forms a fight club with soap salesman Tyler Durden, and becomes embroiled in a relationship with him and a destitute woman, Marla Singer. @ Palahniuks novel was optioned by Fox 2000 Pictures producer Laura Ziskin, who hired Jim Uhls to write the film adaptation. Fincher was selected because of his enthusiasm for the story. He developed the script with Uhls and sought screenwriting advice from the cast and others in the film industry. He and the cast compared the film to Rebel Without a Cause and The Graduate, with a theme of conflict between Generation X and the value system of advertising. @ Studio executives did not like the film, and they restructured Finchers intended marketing campaign to try to reduce anticipated losses. Fight Club failed to meet the studios expectations at the box office, and received polarized reactions from critics. It was cited as one of the most controversial and talked-about films of 1999. The Guardian saw it as an omen for change in American political life, and described its visual style as ground-breaking. The film later found commercial success with its DVD release, establishing Fight Club as a cult classic and causing media to revisit the film. On the tenth anniversary of the films release, The New York Times dubbed it the defining cult movie of our time.	1999-10-15	89	David Fincher	drama (film and television)#film based on a novel#flashback film#thriller film
