wikidata	wikipedia	entity	type	abstract	sitelinks
http://www.wikidata.org/entity/Q5296	https://en.wikipedia.org/wiki/Main_Page	Wikimedia main page	Wikimedia internal item#Wikimedia page outside the main knowledge tree#	@	786
http://www.wikidata.org/entity/Q17	https://en.wikipedia.org/wiki/Japan	Japan	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political territorial entity#polity#research object#social group#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Japan is an island country in East Asia, located in the northwest Pacific Ocean. It is bordered on the west by the Sea of Japan, and extends from the Sea of Okhotsk in the north toward the East China Sea and Taiwan in the south. Part of the Ring of Fire, Japan spans an archipelago of 6852 islands covering ; the five main islands are Hokkaido, Honshu, Shikoku, Kyushu, and Okinawa. Tokyo is Japans capital and largest city; other major cities include Yokohama, Osaka, Nagoya, Sapporo, Fukuoka, Kobe, and Kyoto. @ Japan is the eleventh-most populous country in the world, as well as one of the most densely populated and urbanized. About three-fourths of the countrys terrain is mountainous, concentrating its population of 125.71 million on narrow coastal plains. Japan is divided into 47 administrative prefectures and eight traditional regions. The Greater Tokyo Area is the most populous metropolitan area in the world, with more than 37.4 million residents. @ Japan has been inhabited since the Upper Paleolithic period, though the first mentions of the archipelago appear in Chinese chronicles from the 1st century AD. Between the 4th and 9th centuries, the kingdoms of Japan became unified under an emperor and his imperial court based in Heian-kyō. Beginning in the 12th century, however, political power was held by a series of military dictators and feudal lords, and enforced by a class of warrior nobility. After a century-long period of civil war, the country was reunified in 1603 under the Tokugawa shogunate, which enacted an isolationist foreign policy. In 1854, a United States fleet forced Japan to open trade to the West, which led to the end of the shogunate and the restoration of imperial power in 1868. In the Meiji period, the Empire of Japan adopted a Western-styled constitution and pursued a program of industrialization and modernization. In 1937, Japan invaded China; in 1941, it entered World War II as an Axis power. After suffering defeat in the Pacific War and two atomic bombings, Japan surrendered in 1945 and came under a seven-year Allied occupation, during which it adopted a new constitution. Since 1947, Japan has maintained a unitary parliamentary constitutional monarchy with a bicameral legislature, the National Diet. @ Japan is a great power and a member of numerous international organizations, including the United Nations, the OECD, and the Group of Seven. Although it has renounced its right to declare war, the country maintains Self-Defense Forces that are ranked as the worlds fourth-most powerful military. After World War II, Japan experienced high economic growth, becoming the second-largest economy in the world by 1990 before being surpassed by China in 2010. Despite stagnant growth since the Lost Decade, the countrys economy remains the third-largest by nominal GDP and the fourth-largest by PPP. A leader in the automotive and electronics industries, Japan has made significant contributions to science and technology. Ranked the second-highest country on the Human Development Index in Asia after Singapore, Japan has the worlds second-highest life expectancy, though it is experiencing a decline in population. The culture of Japan is well-known around the world, including its art, cuisine, music, and popular culture, which encompasses prominent animation and video game industries.	375
http://www.wikidata.org/entity/Q159	https://en.wikipedia.org/wiki/Russia	Russia	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political territorial entity#polity#research object#social group#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Russia, or the Russian Federation, is a transcontinental country located in Eastern Europe and Northern Asia. It extends from the Baltic Sea in the west to the Pacific Ocean in the east, and from the Arctic Ocean in the north to the Black and Caspian seas in the south. Russia covers , spanning more than one-eighth of the Earths inhabited land area, stretching eleven time zones, and bordering 16 sovereign nations. Moscow is the countrys capital and largest city; other major cities include Saint Petersburg, Novosibirsk, Yekaterinburg, Kazan, Nizhny Novgorod, Chelyabinsk and Samara. @ Russia is the largest country in the world, the ninth-most populous country, as well as the most populous country in Europe. The country is one of the worlds most sparsely populated and urbanized. About half of the countrys total area is forested, concentrating around four-fifths of its total population of over 146.7 million on its smaller and dense western portion, as opposed to its larger and sparse eastern portion. Russia is administratively divided into 85 federal subjects. The Moscow Metropolitan Area is the largest metropolitan area in Europe, and among the largest in the world, with more than 20 million residents. @ The East Slavs emerged as a recognisable group in Europe between the 3rd and 8th centuries AD. The medieval state of Rus arose in the 9th century. In 988 it adopted Orthodox Christianity from the Byzantine Empire, beginning the synthesis of Byzantine and Slavic cultures that defined Russian culture for the next millennium. Rus ultimately disintegrated into a number of smaller states, until it was finally reunified by the Grand Duchy of Moscow in the 15th century. By the 18th century, the nation had greatly expanded through conquest, annexation, and exploration to become the Russian Empire, which became a major European power, and the third-largest empire in history. Following the Russian Revolution, the Russian SFSR became the largest and leading constituent of the Soviet Union, the worlds first constitutionally socialist state. The Soviet Union played a decisive role in the Allied victory in World War II, and emerged as a superpower and rival to the United States during the Cold War. The Soviet era saw some of the most significant technological achievements of the 20th century, including the worlds first human-made satellite and the launching of the first humans in space. Following the dissolution of the Soviet Union in 1991, the Russian SFSR reconstituted itself as the Russian Federation and is recognised as the continuing legal personality and a successor of the Soviet Union. Following the constitutional crisis of 1993, a new constitution was adopted, and Russia has since been governed as a federal semi-presidential republic. @ Russia is described as a potential superpower, with the worlds second-most powerful military, and the fourth-highest military expenditure. As a recognised nuclear-weapon state, the country possesses the worlds largest stockpile of nuclear weapons. Its economy ranks as the eleventh-largest in the world by nominal GDP and the sixth-largest by PPP. Russias extensive mineral and energy resources are the largest such reserves in the world, making it one of the leading producers of oil and natural gas globally. Russia hosts the worlds ninth-greatest number of UNESCO World Heritage Sites, and is simultaneously ranked very high in the Human Development Index, has a universal healthcare system and a free university education. It is a permanent member of the United Nations Security Council, a member of the SCO, the G20, the Council of Europe, the APEC, the OSCE, the IIB and the WTO, as well as being the leading member of the CIS, the CSTO and a member of the EAEU.	375
http://www.wikidata.org/entity/Q30	https://en.wikipedia.org/wiki/United_States	United States of America	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#democracy#entity#federal system#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#nation#object#organization#political organisation#political system#political territorial entity#polity#republic#research object#social group#social system#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	The United States of America, commonly known as the United States, or America, is a country primarily located in North America, consisting of 50 states, a federal district, five major self-governing territories, and various possessions. At , it is the worlds third- or fourth-largest country by total area. With a population of over , it is the third most populous country in the world. The national capital is Washington, and the most populous city is New York City. @ Paleo-Indians migrated from Siberia to the North American mainland at least 12,000 years ago, and European colonization began in the 16th century. The United States emerged from the thirteen British colonies established along the East Coast. Disputes over taxation and political representation with Great Britain led to the American Revolutionary War, which established independence. In the late 18th century, the U.S. began vigorously expanding across North America, gradually acquiring new territories, oftentimes killing and displacing Native Americans, and admitting new states; by 1848, the United States spanned the continent. Slavery was legal in the southern United States until the second half of the 19th century when the American Civil War led to its abolition. The Spanish–American War and established the U.S. as a world power, a status confirmed by the outcome of . During the Cold War, the United States and the Soviet Union engaged in various proxy wars but avoided direct military conflict. They also competed in the Space Race, culminating in the 1969 spaceflight that first landed humans on the Moon. The revolutions of 1989 in Central and Eastern Europe and the Soviet Unions collapse in 1991 ended the Cold War. This left the United States as the worlds sole superpower, with immense authority in global geopolitics. @ The United States is a federal republic and a representative democracy with three separate branches of government, including a bicameral legislature. It is a founding member of the United Nations, World Bank, International Monetary Fund, Organization of American States, NATO, and other international organizations. It is a permanent member of the United Nations Security Council. The U.S. ranks high in international measures of economic freedom, quality of life, and quality of higher education. Despite considerable income and wealth disparities compared to other rich countries, the United States continuously ranks high in measures of socioeconomic performance. It is also one of the most racially and ethnically diverse nations in the world, often called a melting pot of cultures and ethnicities. Its population has been profoundly shaped by centuries of immigration. @ A highly developed country, the United States accounts for approximately a quarter of global gross domestic product and is the worlds largest economy by nominal GDP. By value, the United States is the worlds largest importer and the second-largest exporter of goods. Although its population is only 4.2% of the world total, it holds 29.4% of the total wealth in the world, the largest share held by any country. Making up more than a third of global military spending, it is the foremost military power in the world and is a leading political, cultural, and scientific force internationally.	375
http://www.wikidata.org/entity/Q43	https://en.wikipedia.org/wiki/Turkey	Turkey	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political territorial entity#polity#research object#social group#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Turkey, officially the Republic of Turkey, is a transcontinental country located mainly on the Anatolian Peninsula in Western Asia, with a smaller portion on the Balkan Peninsula in Southeastern Europe. Turkey is bordered on its northwest by Greece and Bulgaria; north by the Black Sea; northeast by Georgia; east by Armenia, Azerbaijan, and Iran; southeast by Iraq; south by Syria and the Mediterranean Sea; and west by the Aegean Sea. Approximately 70 to 80 percent of the countrys citizens are ethnic Turks. Istanbul, which straddles Europe and Asia, is the countrys largest city, while Ankara is the capital. @ One of the worlds earliest permanently settled regions, present-day Turkey was home to important Neolithic sites, and was inhabited by various civilisations. Hellenization started in the area during the era of Alexander the Great and continued into the Byzantine era. The Seljuk Turks began migrating in the 11th century, and the Seljuk Sultanate of Rûm ruled Anatolia until the Mongol invasion in 1243, when it disintegrated into small Turkish principalities. Beginning in the late 13th century, the Ottomans started uniting the principalities and conquering the Balkans, and the Turkification of Anatolia increased during the Ottoman period. After Mehmed II conquered Constantinople in 1453, Ottoman expansion continued under Selim I. During the reign of Suleiman the Magnificent, the Ottoman Empire became a world power. From the late 18th century onwards, the empires power declined with a gradual loss of territories and wars. In an effort to consolidate the weakening empire, Mahmud II started a period of modernisation in the early 19th century. The 1913 coup détat effectively put the country under the control of the Three Pashas, who were largely responsible for the Empires entry into World War I in 1914. During World War I, the Ottoman government committed genocides against its Armenian, Assyrian and Pontic Greek subjects. After the Ottomans and the other Central Powers lost the war, the Ottoman Empire was partitioned into several new states. The Turkish War of Independence, initiated by Mustafa Kemal Atatürk and his comrades against the occupying Allied Powers, resulted in the abolition of the sultanate on 1 November 1922, and the establishment of the Republic of Turkey on 29 October 1923. @ Turkey is a developing country, a regional power, and a newly industrialized country, with a geopolitically strategic location. It is a charter member of the UN, an early member of NATO, the IMF, and the World Bank, and a founding member of the OECD, OSCE, BSEC, OIC, and G20. After becoming one of the early members of the Council of Europe in 1950, Turkey became an associate member of the EEC in 1963, joined the EU Customs Union in 1995, and started accession negotiations with the European Union in 2005. In a non-binding vote on 13 March 2019, the European Parliament called on the EU governments to suspend Turkeys accession talks; which, despite being stalled since 2018, remain active as of 2020. Turkey is a secular, unitary, formerly parliamentary republic that adopted a presidential system with a referendum in 2017; the new system came into effect with the presidential election in 2018.	365
http://www.wikidata.org/entity/Q142	https://en.wikipedia.org/wiki/France	France	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#democracy#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political system#political territorial entity#polity#research object#social group#social system#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	France, officially the French Republic, is a country, primarily located in Western Europe, consisting of metropolitan France and several overseas regions and territories. The metropolitan area of France extends from the Rhine to the Atlantic Ocean and from the Mediterranean Sea to the English Channel and the North Sea. The overseas territories include French Guiana in South America and several islands in the Atlantic, Pacific and Indian Oceans. France borders Belgium, Luxembourg and Germany to the northeast, Switzerland, Monaco and Italy to the east, Andorra and Spain to the south, as well as the Netherlands, Suriname and Brazil in the Americas. The countrys eighteen integral regions span a combined area of and a total population of 67.15 million. France is a unitary semi-presidential republic with its capital in Paris, the countrys largest city and main cultural and commercial centre. Other major urban areas include Lyon, Marseille, Toulouse, Bordeaux, Lille and Nice. France, including its overseas territories, has the most time zones of any country, with a total of twelve. @ During the Iron Age, what is now metropolitan France was inhabited by the Gauls, a collection of Celtic tribes. The area was annexed by Rome in 51 BC, developing a distinct Gallo-Roman culture that laid the foundation of the French language. The Germanic Franks arrived in 476 and formed the Kingdom of Francia, which became the heartland of the Carolingian Empire. The Treaty of Verdun of 843 partitioned the empire, with West Francia becoming the Kingdom of France in 987. @ For much of the High Middle Ages, France was a highly decentralized feudal kingdom in which the authority of the king was barely felt. King Philip Augustus achieved remarkable success in the strengthening of royal power and the expansion of his realm, doubling its size and defeating his rivals. By the end of his reign, France had emerged as the most powerful state in Europe. In the mid-14th century, French monarchs were embroiled in a series of dynastic conflicts with their English counterparts, which lasted over 100 years. Emerging victorious from said conflicts, disputes with Spain and the Holy Roman Empire soon followed during the Renaissance but were ultimately less successful. However, French culture flourished and a global colonial empire was established, which by the 20th century would become the second largest in the world. The second half of the 16th century was dominated by religious civil wars between Catholics and Protestants, which severely weakened the country. But France once again emerged as Europes dominant cultural, political, and military power in the 17th century under Louis XIV following the Thirty Years War. An inadequate financial model and inequitable taxation system as well as endless and costly wars to maintain its predominant position, the Seven Years War and American War of Independence among them, left the heavily indebted kingdom in a precarious situation by the end of the 18th century. The French Revolution in 1789 saw the fall of the absolute monarchy that characterized the Ancien Régime and from its ashes, rose one of modern historys earliest republics, which drafted the Declaration of the Rights of Man and of the Citizen. The declaration expresses the nations ideals to this day. @ Following the revolution, France reached its political and military zenith in the early 19th century under Napoleon Bonaparte, subjugating much of continental Europe and establishing the First French Empire. The French Revolutionary and Napoleonic Wars shaped the course of European and world history. After the collapse of the empire and a relative decline, France endured a tumultuous succession of governments culminating in the establishment of the French Third Republic in 1870 in the midst of the Franco-Prussian War. France was one of the prominent participants of World War I, from which it emerged victorious, and was one of the Allied powers in World War II, but came under occupation by the Axis in 1940. Following liberation in 1944, a Fourth Republic was established and later dissolved in the course of the Algerian War. The Fifth Republic, led by Charles de Gaulle, was formed in 1958 and remains to this day. Algeria and nearly all other French colonies became independent in the 1960s, with most retaining close economic and military connections with France. @ France retains its centuries-long status as a global centre of art, science, and philosophy. It hosts the worlds fifth-largest number of UNESCO World Heritage Sites and is the leading tourist destination, receiving over 89 million foreign visitors in 2018. France is a developed country with the worlds seventh-largest economy by nominal GDP, and the tenth-largest by PPP. In terms of aggregate household wealth, it ranks fourth in the world. France performs well in international rankings of education, health care, life expectancy, and human development. It remains a great power in global affairs, being one of the five permanent members of the United Nations Security Council and an official nuclear-weapon state. France is a founding and leading member of the European Union and the Eurozone, and a member of the Group of 7, North Atlantic Treaty Organization, Organisation for Economic Co-operation and Development, the World Trade Organization, and La Francophonie.	364
http://www.wikidata.org/entity/Q183	https://en.wikipedia.org/wiki/Germany	Germany	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#federal system#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political system#political territorial entity#polity#research object#social group#social system#sovereign state#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Germany, officially the Federal Republic of Germany, is a country in Central and Western Europe. Covering an area of , it lies between the Baltic and North seas to the north, and the Alps to the south. It borders Denmark to the north, Poland and the Czech Republic to the east, Austria and Switzerland to the south, and France, Luxembourg, Belgium and the Netherlands to the west. @ Various Germanic tribes have inhabited the northern parts of modern Germany since classical antiquity. A region named Germania was documented before AD 100. Beginning in the 10th century, German territories formed a central part of the Holy Roman Empire. During the 16th century, northern German regions became the centre of the Protestant Reformation. Following the Napoleonic Wars and the dissolution of the Holy Roman Empire in 1806, the German Confederation was formed in 1815. In 1871, Germany became a nation state when most of the German states unified into the Prussian-dominated German Empire. After World War I and the German Revolution of 1918–1919, the Empire was replaced by the semi-presidential Weimar Republic. The Nazi seizure of power in 1933 led to the establishment of a dictatorship, World War II, and the Holocaust. After the end of World War II in Europe and a period of Allied occupation, two new German states were founded: the Federal Republic of Germany, generally known as West Germany, and the German Democratic Republic, East Germany. The Federal Republic of Germany was a founding member of the European Economic Community and the European Union, while the German Democratic Republic was a communist Eastern Bloc state and member of the Warsaw Pact. After the fall of communism, German reunification saw the former East German states join the Federal Republic of Germany on 3 October 1990. @ Today, Germany is a federal parliamentary republic led by a chancellor. With over 83 million inhabitants of its 16 constituent states, it is the second-most populous country in Europe after Russia, as well as the most populous member state of the European Union. Its capital and largest city is Berlin, and its financial centre is Frankfurt; the largest urban area is the Ruhr. @ Germany is a great power with a strong economy; it has the largest economy in Europe, the worlds fourth-largest economy by nominal GDP, and the fifth-largest by PPP. As a global leader in several industrial, scientific and technological sectors, it is both the worlds third-largest exporter and importer of goods. As a highly developed country ranking simultaneously very high in the Human Development Index, it offers social security and a universal health care system, environmental protections, and a tuition-free university education. Germany is also a member of the United Nations, NATO, the G7, the G20, and the OECD. Known for its long and rich cultural history, Germany has many World Heritage sites and is among the top tourism destinations in the world.	362
http://www.wikidata.org/entity/Q46	https://en.wikipedia.org/wiki/Europe	Europe	concrete object#entity#geographical object#geographic entity#geographic location#geographic region#landmass#landscape#location#natural geographic entity#natural geographic object#natural object#natural physical object#object#physical object#physico-geographical object#spatial entity#spatio-temporal entity#territorial entity#	Europe is a continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere. It comprises the westernmost part of Eurasia and is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east. Europe is commonly considered to be separated from Asia by the watershed of the Ural Mountains, the Ural River, the Caspian Sea, the Greater Caucasus, the Black Sea, and the waterways of the Turkish Straits. Although some of this border is over land, Europe is generally accorded the status of a full continent because of its great physical size and the weight of history and tradition. @ Europe covers about , or 2% of the Earths surface, making it the second smallest continent. Politically, Europe is divided into about fifty sovereign states, of which Russia is the largest and most populous, spanning 39% of the continent and comprising 15% of its population. Europe had a total population of about 741 million . The European climate is largely affected by warm Atlantic currents that temper winters and summers on much of the continent, even at latitudes along which the climate in Asia and North America is severe. Further from the sea, seasonal differences are more noticeable than close to the coast. @ European culture is the root of Western civilization, which traces its lineage back to ancient Greece and ancient Rome. The fall of the Western Roman Empire in 476 AD and the subsequent Migration Period marked the end of Europes ancient history and the beginning of the Middle Ages. Renaissance humanism, exploration, art and science led to the modern era. Since the Age of Discovery, started by Portugal and Spain, Europe played a predominant role in global affairs. Between the 16th and 20th centuries, European powers colonized at various times the Americas, almost all of Africa and Oceania, and the majority of Asia. @ The Age of Enlightenment, the subsequent French Revolution and the Napoleonic Wars shaped the continent culturally, politically and economically from the end of the 17th century until the first half of the 19th century. The Industrial Revolution, which began in Great Britain at the end of the 18th century, gave rise to radical economic, cultural and social change in Western Europe and eventually the wider world. Both world wars took place for the most part in Europe, contributing to a decline in Western European dominance in world affairs by the mid-20th century as the Soviet Union and the United States took prominence. During the Cold War, Europe was divided along the Iron Curtain between NATO in the West and the Warsaw Pact in the East, until the revolutions of 1989 and fall of the Berlin Wall. @ In 1949, the Council of Europe was founded with the idea of unifying Europe to achieve common goals and prevent future wars. Further European integration by some states led to the formation of the European Union, a separate political entity that lies between a confederation and a federation. The EU originated in Western Europe but has been expanding eastward since the fall of the Soviet Union in 1991. The currency of most countries of the European Union, the euro, is the most commonly used among Europeans; and the EUs Schengen Area abolishes border and immigration controls between most of its member states and some non-members states. There exists a political movement favoring the evolution of the European Union into a single federation encompassing much of the continent.	361
http://www.wikidata.org/entity/Q33	https://en.wikipedia.org/wiki/Finland	Finland	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political territorial entity#polity#research object#social group#sovereign state#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Finland, officially the Republic of Finland, is a Nordic country located in Northern Europe. Finland shares land borders with Sweden to the west, Russia to the east, and Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland to the south that are part of the Baltic Sea. @ Finland has a population of approximately 5.5 million, making it the 25th-most populous country in Europe. The main language is Finnish, a Finnic language of the Uralic language family. Swedish is the second official language of Finland, and is mainly spoken in certain coastal areas of the country and on Åland. Finland is a parliamentary republic consisting of 19 regions and 310 municipalities. The climate varies significantly relative to latitude, from Southern Finlands humid continental climate to the boreal climate of the north. Finland is primarily a boreal forest biome, with more than 180,000 recorded lakes, leading to the denomination the land of a thousand lakes. With an area of , Finland is the eighth-largest country in Europe, and the most sparsely populated country in the European Union. Helsinki, the capital of Finland, is the largest metropolitan area with over 1.5 million people, which produces a third of the countrys GDP. Tampere and Turku are the next largest urban areas. @ Finland was inhabited around 9000 BC after the Last Glacial Period. The Stone Age introduced several different ceramic styles and cultures. The Bronze Age and Iron Age were characterised by extensive contacts with other cultures in Fennoscandia and the Baltic region. From the late 13th century, Finland gradually became an integral part of Sweden as a consequence of the Northern Crusades, the legacy of which is reflected in the prevalence of the Swedish language and its official status. In 1809, as a result of the Finnish War, Finland was annexed by the Russian Empire as the autonomous Grand Duchy of Finland, during which Finnish art flourished and the idea of independence began to take hold. In 1906, Finland became the first European state to grant all adult citizens the right to vote, and the first in the world to give all adult citizens the right to run for public office. Nicholas II, the last Tsar of Russian Empire, tried to russify Finland and also terminate its political autonomy, but after the 1917 Russian Revolution, Finland declared itself independent from the empire. In 1918, the fledgling state was divided by the Finnish Civil War. During World War II, Finland fought the Soviet Union in the Winter War and the Continuation War, and Nazi Germany in the Lapland War. After the wars, Finland lost part of its territory, but maintained its independence. @ Finland largely remained an agrarian country until the 1950s. After World War II, the country rapidly industrialised and developed an advanced economy, while building an extensive welfare state based on the Nordic model, resulting in widespread prosperity and a high per capita income. Finland joined the United Nations in 1955 and adopted an official policy of neutrality. Finland joined the OECD in 1969, the NATO Partnership for Peace in 1994, the European Union in 1995, the Euro-Atlantic Partnership Council in 1997, and the Eurozone at its inception in 1999. @ Finland is a top performer in numerous metrics of national performance, including education, economic competitiveness, civil liberties, quality of life and human development. In 2015, Finland was ranked first in the World Human Capital and the Press Freedom Index and as the most stable country in the world during 2011–2016 in the Fragile States Index, and second in the Global Gender Gap Report. It also ranked first on the World Happiness Report report for 2018, 2019 and 2020.	360
http://www.wikidata.org/entity/Q38	https://en.wikipedia.org/wiki/Italy	Italy	abstract object#administrative territorial entity#agent#artificial entity#class#community#country#entity#geographical object#geographic entity#geographic location#geographic region#group#group of humans#group of living things#group of physical objects#human-geographic territorial entity#individual entity#juridical person#legal form#legal person#location#object#organization#political organisation#political territorial entity#polity#research object#social group#spatial entity#spatio-temporal entity#state#state (former and current)#structure#subject#subject of a right#subject of international law#system#territorial entity#unit#unit of analysis#	Italy, officially the Italian Republic, is a country consisting of a peninsula delimited by the Alps and several islands surrounding it. Italy is located in south-central Europe, and is considered part of western Europe. A unitary parliamentary republic with Rome as its capital, the country covers a total area of and shares land borders with France, Switzerland, Austria, Slovenia, and the enclaved microstates of Vatican City and San Marino. Italy has a territorial enclave in Switzerland and a maritime exclave in Tunisian waters. With around 60 million inhabitants, Italy is the third-most populous member state of the European Union. @ Due to its central geographic location in Southern Europe and the Mediterranean, Italy has historically been home to myriad peoples and cultures. In addition to the various ancient peoples dispersed throughout what is now modern-day Italy, the most predominant being the Indo-European Italic peoples who gave the peninsula its name, beginning from the classical era, Phoenicians and Carthaginians founded colonies mostly in insular Italy, Greeks established settlements in the so-called Magna Graecia of Southern Italy, while Etruscans and Celts inhabited central and northern Italy respectively. An Italic tribe known as the Latins formed the Roman Kingdom in the 8th century BC, which eventually became a republic with a government of the Senate and the People. The Roman Republic initially conquered and assimilated its neighbours on the Italian peninsula, eventually expanding and conquering parts of Europe, North Africa and Asia. By the first century BC, the Roman Empire emerged as the dominant power in the Mediterranean Basin and became a leading cultural, political and religious centre, inaugurating the Pax Romana, a period of more than 200 years during which Italys law, technology, economy, art, and literature developed. Italy remained the homeland of the Romans and the metropole of the empire, whose legacy can also be observed in the global distribution of culture, governments, Christianity and the Latin script. @ During the Early Middle Ages, Italy endured the fall of the Western Roman Empire and barbarian invasions, but by the 11th century numerous rival city-states and maritime republics, mainly in the northern and central regions of Italy, rose to great prosperity through trade, commerce and banking, laying the groundwork for modern capitalism. These mostly independent statelets served as Europes main trading hubs with Asia and the Near East, often enjoying a greater degree of democracy than the larger feudal monarchies that were consolidating throughout Europe; however, part of central Italy was under the control of the theocratic Papal States, while Southern Italy remained largely feudal until the 19th century, partially as a result of a succession of Byzantine, Arab, Norman, Angevin, Aragonese and other foreign conquests of the region. The Renaissance began in Italy and spread to the rest of Europe, bringing a renewed interest in humanism, science, exploration and art. Italian culture flourished, producing famous scholars, artists and polymaths. During the Middle Ages, Italian explorers discovered new routes to the Far East and the New World, helping to usher in the European Age of Discovery. Nevertheless, Italys commercial and political power significantly waned with the opening of trade routes that bypassed the Mediterranean. Centuries of foreign meddling and conquest and the rivalry and infighting between the Italian city-states, such as the Italian Wars of the 15th and 16th centuries, left Italy politically fragmented, and it was further conquered and divided among multiple foreign European powers over the centuries. @ By the mid-19th century, rising Italian nationalism and calls for independence from foreign control led to a period of revolutionary political upheaval. After centuries of foreign domination and political division, Italy was almost entirely unified in 1861, establishing the Kingdom of Italy as a great power. From the late 19th century to the early 20th century, Italy rapidly industrialised, mainly in the north, and acquired a colonial empire, while the south remained largely impoverished and excluded from industrialisation, fuelling a large and influential diaspora. Despite being one of the four main allied powers in World War I, Italy entered a period of economic crisis and social turmoil, leading to the rise of the Italian fascist dictatorship in 1922. Participation in World War II on the Axis side ended in military defeat, economic destruction and the Italian Civil War. Following the liberation of Italy and the rise of the Italian Resistance, the country abolished their monarchy, established a democratic Republic, enjoyed a prolonged economic boom, and became a highly developed country. @ Today, Italy is considered to be one of the worlds most culturally and economically advanced countries, with the worlds eighth-largest economy by nominal GDP, sixth-largest national wealth and third-largest central bank gold reserve. It ranks very highly in life expectancy, quality of life, healthcare, and education. The country plays a prominent role in regional and global economic, military, cultural and diplomatic affairs; it is both a regional power and a great power, and is ranked the worlds eighth most-powerful military. Italy is a founding and leading member of the European Union and a member of numerous international institutions, including the United Nations, NATO, the OECD, the Organization for Security and Co-operation in Europe, the World Trade Organization, the Group of Seven, the G20, the Union for the Mediterranean, the Council of Europe, Uniting for Consensus, the Schengen Area and many more. The country has long been a global centre of art, music, literature, philosophy, science and technology, and fashion, and has greatly influenced and contributed to diverse fields including cinema, cuisine, sports, jurisprudence, banking and business. As a reflection of its cultural wealth, Italy is home to the worlds largest number of World Heritage Sites, and is the fifth-most visited country.	357
