Nummer1	Nummer2	Autor	Jahr	Titel	Typ	Format	Verlag	Preis	Beschreibung
408376	315008931X	Hammitzsch, Horst; Brüll, Lydia	1972	Shinkokinwakashu	Japanische Gedichte. (UNESCO-Sammlung repräsentativer Werke, Asiatische Reihe)	1972	Reclam, Ditzingen	4.95	<p><b>Schlagworte:</b><ul><li> Reclam Universal-Bibliothek<li> Japan, Literatur; Lyriksamml.</ul><p>
408377	3150024579	Sontheimer, Walther; [Ed.]	1986	Annalen		350 S. KART 158 gr	Reclam, Philipp	8.00	<br>; Bd 1-6<br>Übersetzt von: Sontheimer, Walther; <br><ul><li> 2457</ul>
408378	3150025303	Weber, Carl M von;	1986	Der Freischütz auf der Straße	KART 36 gr	Reclam, Philipp	2.20	<ul><li> 2530</ul>
408379	3150025494	Lortzing, Albert;	1986	Zar und Zimmermann		80 S. KART 44 gr	Reclam, Philipp	2.40	<ul><li> 2549</ul>
408380	3150025559	Beethoven, Ludwig van;	1986	Fidelio		48 S. Kt 29 gr	Reclam, Philipp	1.60	<ul><li> 2555</ul>
408381	3150025567	Tolstoi, Leo N;	1986	Volkserzählungen		KART 118 gr	Reclam, Philipp	6.00	<ul><li> 2556</ul>
408382	3150025605	Ibsen, Henrik;	1998	Die Frau vom Meer	Schauspiel in fünf Akten	112 S. KART 62 gr	Reclam, Philipp	3.40	<br>Übersetzt von: Hildebrandt, Christel; <br><ul><li> 2560</ul>
408383	3150006597		2000	Antigone		Durchges. Aufl. 64 S. KART 37 gr	Reclam, Philipp	1.60	<ul><li> 659</ul>
408384	3150012414	Marc Aurel, Marc;	1986	Selbstbetrachtungen		188 S. KART 100 gr	Reclam, Philipp	4.60	<br>Vorwort: Wittstock, Albert von; <br>Übersetzt von: Wittstock, Albert von; <br><ul><li> 1241</ul>
408385	3150013461	Wickram, Jörg;	1986	Das Rollwagenbüchlin		203 S. Kt	Reclam, Ph	6.10	<ul><li> Reclams Universal-Bibliothek; 1346</ul>
408386	3150063205	Gerstäcker, Friedrich;	1986	Die Flucht über die Kordilleren. John Wells	; Reclams Universal-Bibliothek; 6320	Kt	Reclam, Philipp, jun., Verlag GmbH	2.10	
408387	3150019966		1986	Vita Karoli Magni /Das Leben Karls des Grossen	Lat. /Dt	96 S. KART 53 gr	Reclam, Philipp	3.00	<ul><li> 1996</ul>
408388	3150033748	Nestroy, Johann;	1998	Der Talisman		117 S. KART 61 gr	Reclam, Philipp	2.80	<ul><li> 3374</ul>
408389	3150037956	Donizetti, Gaetano;	1986	Lucia von Lammermoor		KART 28 gr	Reclam, Philipp	2.00	<ul><li> 3795</ul>
408390	3150050022	Schopenhauer, Arthur;	1986	Aphorismen zur Lebensweisheit		247 S. KART 114 gr	Reclam, Philipp	6.00	<br>Herausgegeben von: Hübscher, Arthur; <br><ul><li> 5002</ul>
408391	3150068061	Jacob Grimm; Wilhelm Grimm	1986	Deutsche Sagen		KART 83 gr	Reclam, Philipp	4.00	<ul><li> 6806</ul>
408392	3150082609	Strauss, Johann;	1986	Die Fledermaus		87 S. KART 49 gr	Reclam, Philipp	2.60	<br>Herausgegeben von: Zentner, Wilhelm; <br>Vorwort: Zentner, Wilhelm; <br><ul><li> 8260</ul>
408393	3150084970	Tschaikowsky, Peter I;	1986	Eugen Onegin		60 S. KART 36 gr	Reclam, Philipp	2.10	<ul><li> 8497</ul>
408394	3150085012	Laufhütte, Hartmut; [Ed.]	1986	Deutsche Balladen		647 S. KART 280 gr	Reclam, Philipp	12.80	<ul><li> 8501</ul>
408395	3150001080	Goethe, Johann W von;	1986	Die Geschwister. Die Laune des Verliebten		63 S. KART 37 gr	Reclam, Philipp	2.40	<ul><li> 108</ul>
408396	3150024897	Strindberg, August;	1986	Der Vater		80 S. KART 45 gr	Reclam, Philipp	2.60	<ul><li> 2489</ul>
408397	3150026016	Bräker, Ulrich;	1986	Der arme Mann im Tockenburg		264 S. KART 119 gr	Reclam, Philipp	6.00	<br>Herausgegeben von: Günther, Werner; <br><ul><li> 2601</ul>
408398	3150026202	Mozart, Wolfgang A;	1986	Die Zauberflöte		90 S. KART 53 gr	Reclam, Philipp	2.60	<br>Herausgegeben von: Koch, Hans A; <br><ul><li> 2620</ul>
408399	3150026555	Mozart, Wolfgang A;	1986	Die Hochzeit des Figaro		101 S. KART 56 gr	Reclam, Philipp	2.60	<br>Übersetzt von: Klose, Dietrich; <br><ul><li> 2655</ul>
408400	3150026660	Strindberg, August;	1986	Fräulein Julie	; Reclams Universal-Bibliothek; 2666	83 S. Kt	Reclam, Philipp, jun., Verlag GmbH	2.60	Übersetzt von: Gerlach, Hans E; <br>
408401	3150043433	Reuter, Christian;	1986	Schelmuffskys wahrhafftige curiöse und sehr gefährliche Reisebeschreibungen zu Wasser und Lande		207 S. KART 105 gr	Reclam, Philipp	5.80	<br>Herausgegeben von: Barth, Ilse M; <br><ul><li> 4343</ul>
408402	3150043778	Grillparzer, Franz;	2004	Die Ahnfrau		96 S. KART 52 gr	Reclam, Philipp	2.60	<ul><li> 4377</ul>
408403	3150043786	Grillparzer, Franz;	1986	Sappho		KART 44 gr	Reclam, Philipp	2.60	<ul><li> 4378</ul>
408405	3150043808	Grillparzer, Franz;	1986	Das Goldene Vlies		86 S. KART 50 gr	Reclam, Philipp	2.60	<br>; TEIL 3<br><ul><li> 4380</ul>
408406	3150043816	Grillparzer, Franz;	1986	Weh dem, der lügt		101 S. KART 56 gr	Reclam, Philipp	2.40	<ul><li> 4381</ul>
408408	3150043840	Grillparzer, Franz;	1986	Des Meeres und der Liebe Wellen		87 S. KART 48 gr	Reclam, Philipp	2.60	<ul><li> 4384</ul>
408409	3150043859	Grillparzer, Franz;	1998	Der Traum ein Leben		96 S. KART 53 gr	Reclam, Philipp	2.40	<ul><li> 4385</ul>
408410	3150043913	Grillparzer, Franz;	1986	Libussa	Trauerspiel in fünf Aufzügen	96 S. KART 53 gr	Reclam, Philipp	3.00	<ul><li> 4391</ul>
408411	3150043948	Grillparzer, Franz;	1986	Die Jüdin von Toledo		KART 45 gr	Reclam, Philipp	2.60	<ul><li> 4394</ul>
408413	3150044308	Grillparzer, Franz;	1986	Der arme Spielmann		75 S. KART 46 gr	Reclam, Philipp	2.10	<ul><li> 4430</ul>
408414	3150044545	Cechov, Anton P;	1986	Der Bär /Der Heiratsantrag /Die Hochzeit		KART 31 gr	Reclam, Philipp	2.40	<ul><li> 4454</ul>
408415	315004507X	Kant, Immanuel;	1986	Grundlegung zur Metaphysik der Sitten		KART 85 gr	Reclam, Philipp	4.00	<ul><li> 4507</ul>
408416	3150045665	Gluck, Christoph W;	1986	Orpheus und Eurydike		KART 28 gr	Reclam, Philipp	2.10	<ul><li> 4566</ul>
408417	3150045711	Feuerbach, Ludwig;	1986	Das Wesen des Christentums		KART 236 gr	Reclam, Philipp	11.80	<ul><li> 4571</ul>
408418	3150047188	Nestroy, Johann;	1996	Die schlimmen Buben in der Schule. Frühere Verhältnisse		Erg. Ausg. 96 S. KART 53 gr	Reclam, Philipp	2.60	<ul><li> 4718</ul>
408419	3150047412	Mörike, Eduard;	1986	Mozart auf der Reise nach Prag		79 S. KART 54 gr	Reclam, Philipp	2.40	<ul><li> 4741</ul>
408420	3150047552	Mörike, Eduard;	1986	Das Stuttgarter Hutzelmännlein	Märchen	111 S. KART 61 gr	Reclam, Philipp	2.60	<ul><li> 4755</ul>
408422	3150048818	Hegel, Georg W F;	1997	Vorlesungen über die Philosophie der Geschichte		612 S. KART 270 gr	Reclam, Philipp	11.60	<ul><li> 4881</ul>
408423	3150048915	Whitman, Walt;	1986	Grashalme		239 S. KART 109 gr	Reclam, Philipp	6.00	<ul><li> 4891</ul>
408424	3150051940	Rodenbach, Georges;	1986	Das tote Brügge		KART 53 gr	Reclam, Philipp	3.40	<ul><li> 5194</ul>
408425	3150052475	Pocci		Kasperlkomodien	Hrsg. v. Karl Pörnbacher	paperback	Philipp Reclam, Jun Verlag GmbH	1.53	<br><br>Sprache: German
